company_name,industry,website,telephone,fax,address,address_maplink,email_home
Rolf Bitterli,Inserate,NA,tel:032 636 22 74,fax:032 636 11 41,"Stockrain 2
4537 Wiedlisbach",https://www.google.com/maps/place/Stockrain%202+4537+Wiedlisbach,website not accessible
CreaPlant AG,Detailhandel mit Blumen und Pflanzen,http://www.creaplant.ch/,tel:032 675 09 09,NA,"Bolacker 5
4564 Obergerlafingen",https://www.google.com/maps/place/Bolacker%205+4564+Obergerlafingen,info@creaplant.ch
Zemp Sanitär AG,Sanitärinstallation,NA,tel:041 260 33 37,fax:041 260 33 03,"Rothenring 9
6015 Luzern",https://www.google.com/maps/place/Rothenring%209+6015+Luzern,website not accessible
Gürbetal Elektro GmbH,Elektroinstallation,NA,tel:031 809 04 51,NA,"oberer Husmattweg 9
3126 Kaufdorf",https://www.google.com/maps/place/oberer%20Husmattweg%209+3126+Kaufdorf,website not accessible
GK Holding AG,Investmentgesellschaften,NA,tel:071 388 57 57,fax:071 388 89 73,"Langfeldstrasse 10
9200 Gossau SG",https://www.google.com/maps/place/Langfeldstrasse%2010+9200+Gossau%20SG,website not accessible
Garage Roos AG,lnstandhaltung und Reparatur von Automobilen,http://www.garage-roos.ch/,tel:041 495 35 36,fax:041 495 30 22,"Rüediswilerstrasse 98
6017 Ruswil",https://www.google.com/maps/place/R%C3%BCediswilerstrasse%2098+6017+Ruswil,info@garage-roos.ch
Carrosserie Bossert,Reparatur und Lackieren von Carrosserien,NA,NA,NA,"Kantonsstrasse 22
6207 Nottwil",https://www.google.com/maps/place/Kantonsstrasse%2022+6207+Nottwil,website not accessible
Walco Systems AG,Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.,http://www.kellertrennwaende.ch/,tel:071 841 74 28,fax:071 841 75 04,"Schönbüelpark 14
9016 St. Gallen",https://www.google.com/maps/place/Sch%C3%B6nb%C3%BCelpark%2014+9016+St.%20Gallen,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com
Orllati (VD) SA,Abbrucharbeiten,http://www.orllati.ch/,tel:0848 767 767,fax:0848 767 768,"Route de Bettens 13
1042 Bioley-Orjulaz",https://www.google.com/maps/place/Route%20de%20Bettens%2013+1042+Bioley-Orjulaz,photographe_pierreboss@bluewin.ch
SEO one GmbH,Sonstige Telekommunikation,http://www.seoone.ch/,tel:052 203 59 59,NA,"Neuwiesenstrasse 69
8400 Winterthur",https://www.google.com/maps/place/Neuwiesenstrasse%2069+8400+Winterthur,info@seoone.ch
Gärtnerei Bühler GmbH,Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen,http://www.gaertnerei-buehler.ch/,tel:062 794 10 33,fax:062 794 11 13,"Weidweg 1
4852 Rothrist",https://www.google.com/maps/place/Weidweg%201+4852+Rothrist,info@gaertnerei-buehler.ch
Walter Oberli,Sanitär- und Heizungsinstallation,http://www.oberli-haustechnik.ch/,tel:032 322 44 59,fax:032 322 63 58,"ch.de la Rochette 1
2533 Evilard",https://www.google.com/maps/place/ch.de%20la%20Rochette%201+2533+Evilard,w.oberli@bluewin.ch
Leo Sutter,Malerei,http://www.leo-sutter.ch/,tel:071 385 55 31,fax:071 385 58 72,"Herisauerstrasse 81
9200 Gossau SG",https://www.google.com/maps/place/Herisauerstrasse%2081+9200+Gossau%20SG,bad link
CITYMED VERLAG MAGEWSKI,Verlegen von Zeitschriften,http://www.citymed.ch/,tel:071 666 80 90,NA,"Tägermoosstrasse 5
8280 Kreuzlingen",https://www.google.com/maps/place/T%C3%A4germoosstrasse%205+8280+Kreuzlingen,
Gerfa AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:061 270 17 17,fax:061 270 17 10,"Kirschgartenstrasse 7
4010 Basel",https://www.google.com/maps/place/Kirschgartenstrasse%207+4010+Basel,website not accessible
WD comtec AG,Kabelnetzleitungstiefbau,NA,tel:062 849 43 34,NA,"C.F.Bally-Strasse 36
5012 Schönenwerd",https://www.google.com/maps/place/C.F.Bally-Strasse%2036+5012+Sch%C3%B6nenwerd,website not accessible
"gluehbirne.ch, S. Oetiker","Grosshandel mit Möbeln, Teppichen, Lampen und Leuchten",NA,tel:052 242 04 33,NA,"Lättegässli 7
8226 Schleitheim",https://www.google.com/maps/place/L%C3%A4tteg%C3%A4ssli%207+8226+Schleitheim,website not accessible
VT Immo AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,NA,NA,"Baarerstrasse 75
6300 Zug",https://www.google.com/maps/place/Baarerstrasse%2075+6300+Zug,website not accessible
Crotto dei Tigli,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",https://www.crottodeitigli.ch/,tel:091 683 30 81,NA,"Viale Attilio Tarchini 53
6828 Balerna",https://www.google.com/maps/place/Viale%20Attilio%20Tarchini%2053+6828+Balerna,crottodeitigli@bluewin.ch
Gimag AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,tel:061 851 19 07,fax:061 853 01 45,"Industriestrasse 24
4313 Möhlin",https://www.google.com/maps/place/Industriestrasse%2024+4313+M%C3%B6hlin,website not accessible
Beglinger Modehaus AG,Detailhandel mit Herrenbekleidung,NA,tel:055 640 11 17,fax:055 640 83 67,"Bahnhofstrasse 17
8750 Glarus",https://www.google.com/maps/place/Bahnhofstrasse%20%2017+8750+Glarus,website not accessible
"TSS, Türen-Service-Schötz AG",Reparatur von Möbeln und Einrichtungsgegenständen,http://www.schoetz.portas.ch/,tel:041 984 00 90,NA,"Luzernerstrasse 54
6247 Schötz",https://www.google.com/maps/place/Luzernerstrasse%2054+6247+Sch%C3%B6tz,info@schoetz.portas.ch
Alpha Plan Bau GmbH,Vermietung und Verpachtung von eigenen oder geleasten Gebäuden und Wohnungen,NA,NA,NA,"Marktstrasse 12
4512 Bellach",https://www.google.com/maps/place/Marktstrasse%2012+4512+Bellach,website not accessible
Edilstrada SA,Bau von Strassen,http://www.edilstrada.ch/,tel:091 935 75 25,fax:091 935 75 20,"via ai Portici
6930 Bedano",https://www.google.com/maps/place/via%20ai%20Portici+6930+Bedano,
Küwi AG,Grosshandel mit Baustoffen,http://www.kuewi.ch/,tel:043 455 20 30,fax:044 751 07 60,"Riedstrasse 8
8953 Dietikon",https://www.google.com/maps/place/Riedstrasse%208+8953+Dietikon,
MPZ Audio Michael Zach,Vermietung von sonstigen Gebrauchsgütern,http://www.mpz.ch/,tel:031 351 90 80,NA,"Balmerstrasse 36
3006 Bern",https://www.google.com/maps/place/Balmerstrasse%2036+3006+Bern,website not accessible
Knür Garten-+ Tiefbau GmbH,Landschaftsplanungsbüros und Gartenarchitekturbüros,NA,tel:071 460 20 24,fax:071 460 20 24,"Seestrasse 5
8599 Salmsach",https://www.google.com/maps/place/Seestrasse%205+8599+Salmsach,website not accessible
T&F Automobile GmbH,lnstandhaltung und Reparatur von Automobilen,http://www.tf-automobile.ch/,tel:078 663 44 99,NA,"Bernstrasse 13
3114 Wichtrach",https://www.google.com/maps/place/Bernstrasse%2013+3114+Wichtrach,bad link
Hirn Oberriet AG,lnstandhaltung und Reparatur von Automobilen,NA,tel:071 761 21 13,fax:071 761 21 20,"Staatsstrasse 192
9463 Oberriet SG",https://www.google.com/maps/place/Staatsstrasse%20192+9463+Oberriet%20SG,website not accessible
Scala Music-Cafe,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",http://www.scala-brig.ch/,tel:027 923 23 00,NA,"Sennereigasse 6
3900 Brig",https://www.google.com/maps/place/Sennereigasse%206+3900+Brig,info@scala-brig.ch
Laube SA,"Holzbau, Zimmerei",http://www.laube-sa.ch/,tel:091 648 28 55,fax:091 648 11 94,"via Carona
6818 Melano",https://www.google.com/maps/place/via%20Carona+6818+Melano,info@laube-sa.ch
Städtli-Metzgerei,Detailhandel mit Fleisch und Fleischwaren,http://www.staedtlimetzgerei.ch/,tel:071 446 16 18,fax:071 446 64 44,"Hauptstrasse 17
9320 Arbon",https://www.google.com/maps/place/Hauptstrasse%2017+9320+Arbon,website not accessible
Hans-Peter Müller,Personenbeförderung in der Luftfahrt,NA,tel:052 633 06 07,fax:052 633 06 05,"Winkelriedstrasse 82
8203 Schaffhausen",https://www.google.com/maps/place/Winkelriedstrasse%2082+8203+Schaffhausen,website not accessible
"Landolt, Bauunternehmung AG",Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,NA,tel:055 612 28 87,NA,"Kärpfstrasse 39b
8752 Näfels",https://www.google.com/maps/place/K%C3%A4rpfstrasse%2039b+8752+N%C3%A4fels,website not accessible
OCoTex AG,"Detailhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software",http://www.ocotex.ch/,tel:041 799 50 00,fax:041 799 50 05,"Schöngrund 33
6343 Rotkreuz",https://www.google.com/maps/place/Sch%C3%B6ngrund%20%2033+6343+Rotkreuz,info@ocotex.ch
Daniel Bürki Musik,Detailhandel mit Musikinstrumenten,http://www.buerkimusik.ch/,tel:044 955 09 66,NA,"Kempttalstrasse 27a
8320 Fehraltorf",https://www.google.com/maps/place/Kempttalstrasse%2027a+8320+Fehraltorf,daniel@buerkimusik.ch
